rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1400	CALCB	calcitonin-related polypeptide beta	72497	1	1	1	1	0	0	0	1	0	0	0.104	0.942	NaN	NaN	NaN	0.104	1.000
1401	RETN	resistin	38069	1	1	1	0	0	0	0	0	1	0	0.104	1.000	NaN	NaN	NaN	0.104	1.000
1402	OLIG3	oligodendrocyte transcription factor 3	102447	3	3	3	0	2	1	0	0	0	0	0.0508	0.249	0.196	0.935	0.426	0.105	1.000
1403	BRD9	bromodomain containing 9	316626	4	3	4	1	3	1	0	0	0	0	0.243	0.563	0.0461	0.667	0.0892	0.105	1.000
1404	DNAH9	dynein, axonemal, heavy chain 9	2370645	18	17	18	3	4	7	1	2	4	0	0.423	0.141	0.457	0.0206	0.0512	0.105	1.000
1405	RCC2	regulator of chromosome condensation 2	240899	4	4	4	0	0	3	1	0	0	0	0.0658	0.284	0.305	0.185	0.330	0.105	1.000
1406	CDC6	cell division cycle 6 homolog (S. cerevisiae)	315210	5	5	5	0	0	4	0	1	0	0	0.0217	0.286	0.964	0.966	1.000	0.105	1.000
1407	GUSB	glucuronidase, beta	363855	2	2	2	1	1	0	0	1	0	0	0.509	0.818	0.134	0.0409	0.0427	0.105	1.000
1408	KRTAP6-1	keratin associated protein 6-1	40572	1	1	1	0	0	0	1	0	0	0	0.105	0.806	NaN	NaN	NaN	0.105	1.000
1409	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	86938	2	2	2	0	1	0	0	1	0	0	0.0218	0.586	0.694	0.988	1.000	0.105	1.000
1410	PDE6H	phosphodiesterase 6H, cGMP-specific, cone, gamma	48805	2	2	2	0	0	2	0	0	0	0	0.0218	0.612	0.871	0.733	1.000	0.105	1.000
1411	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	260399	3	3	3	0	0	2	0	0	1	0	0.137	0.366	0.529	0.0496	0.159	0.105	1.000
1412	TMEM70	transmembrane protein 70	128428	3	3	3	1	0	1	0	1	1	0	0.0392	0.651	0.504	0.347	0.558	0.105	1.000
1413	FAM111A	family with sequence similarity 111, member A	324734	4	4	4	1	1	1	0	0	2	0	0.0321	0.685	0.504	0.349	0.681	0.105	1.000
1414	GPR137B	G protein-coupled receptor 137B	206364	2	2	2	0	1	1	0	0	0	0	0.296	0.428	0.0614	0.672	0.0742	0.106	1.000
1415	RANBP17	RAN binding protein 17	615383	8	8	8	0	1	4	3	0	0	0	0.0220	0.105	0.626	0.979	1.000	0.106	1.000
1416	KAT2B	K(lysine) acetyltransferase 2B	409340	6	6	6	1	1	4	0	0	1	0	0.0220	0.438	0.893	0.570	1.000	0.106	1.000
1417	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	383747	5	5	5	0	3	0	1	0	1	0	0.0887	0.287	0.165	0.247	0.248	0.106	1.000
1418	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	284945	7	7	7	2	1	3	1	0	2	0	0.0332	0.552	0.805	0.235	0.662	0.106	1.000
1419	GPR139	G protein-coupled receptor 139	196857	3	3	3	0	1	0	2	0	0	0	0.0406	0.463	0.469	0.662	0.542	0.106	1.000
1420	MRPL19	mitochondrial ribosomal protein L19	165971	3	3	3	0	1	1	0	1	0	0	0.0551	0.429	0.255	0.197	0.400	0.106	1.000
1421	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	281344	4	4	4	0	2	0	1	0	1	0	0.0247	0.241	0.882	0.475	0.893	0.106	1.000
1422	ERO1LB	ERO1-like beta (S. cerevisiae)	251245	4	4	4	0	2	0	1	0	1	0	0.0474	0.366	0.276	0.778	0.465	0.106	1.000
1423	TRPC1	transient receptor potential cation channel, subfamily C, member 1	427737	5	5	5	2	0	3	1	0	1	0	0.341	0.778	0.204	0.0153	0.0648	0.106	1.000
1424	C19orf43	chromosome 19 open reading frame 43	54621	1	1	1	0	0	1	0	0	0	0	0.106	0.728	NaN	NaN	NaN	0.106	1.000
1425	MFSD10	major facilitator superfamily domain containing 10	241271	3	3	3	0	1	1	1	0	0	0	0.141	0.341	0.173	0.169	0.157	0.106	1.000
1426	RAB40C	RAB40C, member RAS oncogene family	151097	3	3	3	0	1	2	0	0	0	0	0.112	0.244	0.138	0.428	0.199	0.107	1.000
1427	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	377400	6	4	6	0	1	3	1	0	1	0	0.0578	0.236	0.230	0.923	0.385	0.107	1.000
1428	FAM91A1	family with sequence similarity 91, member A1	482206	3	3	3	0	0	1	2	0	0	0	0.291	0.418	0.0650	0.604	0.0766	0.107	1.000
1429	LIPJ	lipase, family member J	205478	3	3	3	0	0	2	0	0	1	0	0.0223	0.665	0.789	0.735	1.000	0.107	1.000
1430	RPUSD2	RNA pseudouridylate synthase domain containing 2	296228	4	4	4	0	1	0	0	3	0	0	0.0681	0.389	0.215	0.859	0.327	0.107	1.000
1431	SCRT2	scratch homolog 2, zinc finger protein (Drosophila)	69210	2	2	2	0	0	0	0	1	1	0	0.0435	0.823	0.957	0.331	0.513	0.107	1.000
1432	WDFY4	WDFY family member 4	1730417	18	16	18	2	2	6	3	4	3	0	0.0463	0.0829	0.943	0.109	0.485	0.108	1.000
1433	NXT1	NTF2-like export factor 1	78981	1	1	1	0	0	0	0	0	1	0	0.108	0.687	NaN	NaN	NaN	0.108	1.000
1434	PRIM1	primase, DNA, polypeptide 1 (49kDa)	231946	4	4	4	1	0	1	0	1	2	0	0.0225	0.730	0.738	0.962	1.000	0.108	1.000
1435	CASP8	caspase 8, apoptosis-related cysteine peptidase	320702	6	5	6	0	0	3	1	1	1	0	0.0225	0.293	0.683	0.672	1.000	0.108	1.000
1436	SLC16A4	solute carrier family 16, member 4 (monocarboxylic acid transporter 5)	263904	3	3	3	0	0	1	1	1	0	0	0.0513	0.469	0.789	0.187	0.438	0.108	1.000
1437	OBSL1	obscurin-like 1	781386	8	7	8	0	4	0	1	1	2	0	0.372	0.111	0.0243	0.617	0.0607	0.108	1.000
1438	OR10A5	olfactory receptor, family 10, subfamily A, member 5	176881	2	2	2	1	0	0	0	2	0	0	0.0688	0.913	0.426	0.223	0.328	0.108	1.000
1439	ANKFN1	ankyrin-repeat and fibronectin type III domain containing 1	428765	5	5	5	1	3	1	0	1	0	0	0.0388	0.526	0.0413	0.797	0.582	0.108	1.000
1440	PGBD2	piggyBac transposable element derived 2	312738	4	4	4	0	0	3	0	0	1	0	0.0931	0.384	0.288	0.252	0.243	0.108	1.000
1441	RPL38	ribosomal protein L38	41733	1	1	1	0	0	0	0	0	1	0	0.109	1.000	NaN	NaN	NaN	0.109	1.000
1442	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	52105	1	1	1	0	1	0	0	0	0	0	0.109	0.625	NaN	NaN	NaN	0.109	1.000
1443	PDPN	podoplanin	133192	3	3	3	0	1	1	0	1	0	0	0.0310	0.372	0.462	0.728	0.734	0.109	1.000
1444	AGPS	alkylglycerone phosphate synthase	360600	4	4	4	1	0	2	0	2	0	0	0.104	0.798	0.138	0.906	0.218	0.109	1.000
1445	CLEC4D	C-type lectin domain family 4, member D	109446	2	2	2	0	1	1	0	0	0	0	0.0413	0.539	0.389	0.667	0.551	0.109	1.000
1446	CCL14	chemokine (C-C motif) ligand 14	63901	2	2	2	0	1	1	0	0	0	0	0.0493	0.425	0.253	0.490	0.462	0.109	1.000
1447	MPG	N-methylpurine-DNA glycosylase	163957	2	2	2	0	0	2	0	0	0	0	0.253	0.476	0.149	0.0896	0.0903	0.109	1.000
1448	SKAP2	src kinase associated phosphoprotein 2	207135	3	3	2	0	2	0	0	1	0	0	0.0229	0.589	0.571	0.638	1.000	0.109	1.000
1449	PARD3B	par-3 partitioning defective 3 homolog B (C. elegans)	654154	5	5	5	0	0	2	0	1	2	0	0.208	0.326	0.147	0.122	0.110	0.109	1.000
1450	TACR3	tachykinin receptor 3	257772	3	3	3	1	1	2	0	0	0	0	0.190	0.599	0.0965	0.278	0.121	0.109	1.000
1451	FAM102B	family with sequence similarity 102, member B	207453	2	2	2	0	0	1	0	0	1	0	0.178	0.786	0.121	0.464	0.128	0.109	1.000
1452	MCPH1	microcephalin 1	434002	5	5	5	1	1	1	0	0	3	0	0.0818	0.664	0.176	0.409	0.280	0.109	1.000
1453	ADORA2B	adenosine A2b receptor	154994	2	2	2	0	0	1	0	1	0	0	0.108	0.529	0.0862	0.306	0.212	0.109	1.000
1454	ACBD5	acyl-Coenzyme A binding domain containing 5	297565	4	4	4	0	2	1	1	0	0	0	0.0327	0.241	0.415	0.447	0.701	0.110	1.000
1455	MOCS2	molybdenum cofactor synthesis 2	141372	3	3	3	0	0	2	0	0	1	0	0.0406	0.707	0.923	0.285	0.565	0.110	1.000
1456	LYPD1	LY6/PLAUR domain containing 1	75678	2	2	2	0	0	1	0	0	1	0	0.0366	0.699	0.530	0.356	0.627	0.110	1.000
1457	STEAP4	STEAP family member 4	247267	3	3	3	0	0	1	1	1	0	0	0.0598	0.450	0.549	0.148	0.384	0.110	1.000
1458	TTR	transthyretin (prealbumin, amyloidosis type I)	83853	1	1	1	0	0	0	0	1	0	0	0.110	0.803	NaN	NaN	NaN	0.110	1.000
1459	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	294843	4	4	4	0	1	1	0	0	2	0	0.0394	0.283	0.343	0.818	0.584	0.110	1.000
1460	ARF4	ADP-ribosylation factor 4	102986	1	1	1	0	0	0	0	0	1	0	0.110	1.000	NaN	NaN	NaN	0.110	1.000
1461	C5orf42	chromosome 5 open reading frame 42	1778230	8	8	8	4	0	3	0	2	3	0	0.989	0.983	0.0152	0.280	0.0233	0.110	1.000
1462	OXR1	oxidation resistance 1	469958	2	2	2	1	0	0	1	0	1	0	0.517	0.902	0.0844	0.0222	0.0447	0.110	1.000
1463	ZNF793	zinc finger protein 793	220081	3	3	3	0	1	1	0	0	1	0	0.0361	0.410	0.504	0.402	0.640	0.110	1.000
1464	CNOT3	CCR4-NOT transcription complex, subunit 3	418823	5	5	5	0	2	3	0	0	0	0	0.123	0.145	0.746	0.0420	0.188	0.110	1.000
1465	ALDOC	aldolase C, fructose-bisphosphate	199462	4	4	4	1	1	2	0	1	0	0	0.0232	0.642	0.939	0.617	1.000	0.111	1.000
1466	RBM4	RNA binding motif protein 4	203352	4	4	4	0	2	0	0	1	1	0	0.0334	0.328	0.582	0.220	0.696	0.111	1.000
1467	TAAR5	trace amine associated receptor 5	175774	2	2	2	0	0	2	0	0	0	0	0.180	0.423	0.337	0.0833	0.129	0.111	1.000
1468	ZNF18	zinc finger protein 18	304011	4	4	4	0	0	2	1	0	1	0	0.0533	0.315	0.909	0.139	0.437	0.111	1.000
1469	IL15	interleukin 15	94324	1	1	1	0	0	0	0	1	0	0	0.111	0.872	NaN	NaN	NaN	0.111	1.000
1470	GNGT1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	37094	1	1	1	1	0	0	0	0	1	0	0.111	0.943	NaN	NaN	NaN	0.111	1.000
1471	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	53655	2	2	2	0	0	0	2	0	0	0	0.0233	0.918	0.204	0.458	1.000	0.111	1.000
1472	AHCY	S-adenosylhomocysteine hydrolase	240525	2	2	2	0	1	0	0	0	1	0	0.310	0.538	0.152	0.0465	0.0752	0.111	1.000
1473	LRRK2	leucine-rich repeat kinase 2	1400566	20	20	20	4	0	8	4	4	4	0	0.0334	0.443	0.535	0.718	0.699	0.111	1.000
1474	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A	146442	2	1	2	1	0	0	1	1	0	0	0.326	0.893	0.0409	0.0714	0.0717	0.111	1.000
1475	TP63	tumor protein p63	413860	3	2	3	1	0	2	0	0	1	0	0.665	0.722	0.0274	0.247	0.0352	0.111	1.000
1476	NPVF	neuropeptide VF precursor	111506	2	2	2	0	0	0	1	1	0	0	0.0234	0.644	0.821	0.925	1.000	0.111	1.000
1477	SCG2	secretogranin II (chromogranin C)	337673	5	4	5	1	0	3	1	0	1	0	0.0655	0.629	0.286	0.373	0.359	0.112	1.000
1478	TTPAL	tocopherol (alpha) transfer protein-like	191915	2	2	2	1	0	0	1	1	0	0	0.155	0.860	0.0189	0.479	0.152	0.112	1.000
1479	C2orf72	chromosome 2 open reading frame 72	48308	1	1	1	0	0	1	0	0	0	0	0.112	0.789	NaN	NaN	NaN	0.112	1.000
1480	NCKAP1L	NCK-associated protein 1-like	642657	3	3	3	1	2	0	0	1	0	0	0.681	0.815	0.0132	0.868	0.0345	0.112	1.000
1481	KRTAP9-8	keratin associated protein 9-8	89080	1	1	1	0	0	0	0	1	0	0	0.112	0.860	NaN	NaN	NaN	0.112	1.000
1482	C3orf14	chromosome 3 open reading frame 14	73070	1	1	1	0	1	0	0	0	0	0	0.112	0.869	NaN	NaN	NaN	0.112	1.000
1483	TSPYL5	TSPY-like 5	200950	3	3	3	0	2	0	0	0	1	0	0.167	0.442	0.0662	0.923	0.141	0.112	1.000
1484	SLCO1B1	solute carrier organic anion transporter family, member 1B1	391351	5	5	5	0	0	3	1	1	0	0	0.0236	0.325	0.758	0.616	1.000	0.112	1.000
1485	WBSCR27	Williams Beuren syndrome chromosome region 27	140001	3	3	3	0	2	0	0	0	1	0	0.0448	0.404	0.324	0.884	0.527	0.112	1.000
1486	TECTA	tectorin alpha	1144450	14	13	14	0	5	6	2	0	1	0	0.0236	0.00974	0.944	0.959	1.000	0.112	1.000
1487	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	23795	1	1	1	0	0	1	0	0	0	0	0.112	0.692	NaN	NaN	NaN	0.112	1.000
1488	CCDC112	coiled-coil domain containing 112	271866	4	4	4	0	1	1	0	0	2	0	0.0324	0.625	0.793	0.334	0.730	0.112	1.000
1489	CCR9	chemokine (C-C motif) receptor 9	197166	2	2	2	0	2	0	0	0	0	0	0.123	0.380	0.390	0.147	0.192	0.112	1.000
1490	KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	243921	3	3	3	0	1	2	0	0	0	0	0.274	0.259	0.0704	0.161	0.0866	0.112	1.000
1491	CHP2	calcineurin-like EF hand protein 2	102689	3	3	3	0	0	0	2	0	1	0	0.0237	0.468	0.936	0.679	1.000	0.112	1.000
1492	LEMD3	LEM domain containing 3	403137	3	3	3	0	1	0	1	1	0	0	0.218	0.396	0.703	0.0273	0.109	0.112	1.000
1493	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	133497	2	2	2	0	0	1	0	1	0	0	0.0951	0.598	0.205	0.148	0.250	0.113	1.000
1494	UBQLN2	ubiquilin 2	258528	4	4	4	0	2	0	0	1	1	0	0.0294	0.279	0.427	0.859	0.809	0.113	1.000
1495	UNC93B1	unc-93 homolog B1 (C. elegans)	270634	5	5	4	0	2	2	1	0	0	0	0.0307	0.150	0.644	0.465	0.775	0.113	1.000
1496	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	198637	3	3	2	0	0	1	0	0	2	0	0.103	0.698	0.0489	0.912	0.232	0.113	1.000
1497	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	579673	4	4	4	0	0	4	0	0	0	0	0.331	0.481	0.0413	0.858	0.0720	0.113	1.000
1498	C17orf58	chromosome 17 open reading frame 58	78980	1	1	1	0	0	0	0	0	1	0	0.113	1.000	NaN	NaN	NaN	0.113	1.000
1499	ABHD12B	abhydrolase domain containing 12B	146412	2	2	2	0	0	0	1	0	1	0	0.113	0.571	NaN	NaN	NaN	0.113	1.000
1500	OR4S2	olfactory receptor, family 4, subfamily S, member 2	142698	3	3	3	2	0	0	0	2	1	0	0.251	0.982	0.490	0.0342	0.0950	0.113	1.000
1501	FAM43B	family with sequence similarity 43, member B	52338	1	1	1	1	0	0	0	1	0	0	0.113	0.927	NaN	NaN	NaN	0.113	1.000
1502	ADAM28	ADAM metallopeptidase domain 28	449860	5	5	5	0	0	3	2	0	0	0	0.0657	0.283	0.346	0.268	0.364	0.113	1.000
1503	XPO7	exportin 7	612479	4	2	4	0	0	0	1	1	2	0	0.708	0.469	0.0263	0.438	0.0338	0.113	1.000
1504	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	90311	2	2	2	0	0	1	0	1	0	0	0.112	0.554	0.0973	0.163	0.215	0.113	1.000
1505	MTMR9	myotubularin related protein 9	302576	5	5	5	1	1	2	1	0	1	0	0.0240	0.610	0.911	0.550	1.000	0.113	1.000
1506	KRT79	keratin 79	296963	2	2	2	0	0	2	0	0	0	0	0.442	0.436	0.201	0.0399	0.0543	0.114	1.000
1507	ABI2	abl interactor 2	269898	4	4	3	0	0	2	0	0	2	0	0.0241	0.409	0.0945	0.324	1.000	0.114	1.000
1508	BEX1	brain expressed, X-linked 1	69748	2	2	2	0	0	1	1	0	0	0	0.0241	0.581	0.993	0.631	1.000	0.114	1.000
1509	NLK	nemo-like kinase	300200	4	4	4	0	1	2	1	0	0	0	0.0608	0.283	0.305	0.250	0.397	0.114	1.000
1510	ANAPC5	anaphase promoting complex subunit 5	414235	3	3	3	1	0	3	0	0	0	0	0.420	0.648	0.0450	0.536	0.0575	0.114	1.000
1511	KLK15	kallikrein-related peptidase 15	142531	2	2	2	1	0	1	0	1	0	0	0.148	0.837	0.420	0.144	0.164	0.114	1.000
1512	SYT10	synaptotagmin X	292731	4	4	4	0	1	0	1	1	1	0	0.0242	0.318	0.879	0.906	1.000	0.114	1.000
1513	NSUN7	NOL1/NOP2/Sun domain family, member 7	396200	4	4	4	0	2	2	0	0	0	0	0.122	0.294	0.122	0.240	0.198	0.114	1.000
1514	USP26	ubiquitin specific peptidase 26	484320	3	3	3	0	0	1	1	0	1	0	0.258	0.580	0.0873	0.371	0.0940	0.114	1.000
1515	RBMXL1	RNA binding motif protein, X-linked-like 1	217744	3	3	3	1	0	1	0	1	1	0	0.0516	0.794	0.241	0.922	0.470	0.115	1.000
1516	TUBB2A	tubulin, beta 2A	185192	3	3	3	0	1	1	0	1	0	0	0.0626	0.360	0.271	0.137	0.388	0.115	1.000
1517	TARS	threonyl-tRNA synthetase	407670	6	6	6	0	0	4	1	1	0	0	0.0243	0.246	0.988	0.839	1.000	0.115	1.000
1518	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	40718	1	1	1	0	0	0	0	0	1	0	0.115	0.678	NaN	NaN	NaN	0.115	1.000
1519	ZNF223	zinc finger protein 223	268338	4	4	4	0	0	2	0	1	1	0	0.0512	0.513	0.346	0.520	0.475	0.115	1.000
1520	OR2T3	olfactory receptor, family 2, subfamily T, member 3	172004	3	3	3	0	2	1	0	0	0	0	0.0244	0.261	0.945	0.724	1.000	0.115	1.000
1521	KDM3B	lysine (K)-specific demethylase 3B	927749	9	8	9	0	0	2	1	4	2	0	0.107	0.147	0.204	0.143	0.230	0.116	1.000
1522	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	99794	2	2	2	0	0	2	0	0	0	0	0.104	0.663	0.172	0.954	0.237	0.116	1.000
1523	GLYCTK	glycerate kinase	255645	3	3	3	0	0	1	0	2	0	0	0.0890	0.475	0.118	0.754	0.276	0.116	1.000
1524	OR8K5	olfactory receptor, family 8, subfamily K, member 5	169356	3	3	3	0	0	2	0	1	0	0	0.0398	0.409	0.614	0.361	0.618	0.116	1.000
1525	C7orf49	chromosome 7 open reading frame 49	88430	1	1	1	0	0	0	0	1	0	0	0.116	0.832	NaN	NaN	NaN	0.116	1.000
1526	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	263275	2	2	2	0	1	0	1	0	0	0	0.306	0.604	0.0213	0.735	0.0803	0.116	1.000
1527	CHRNA4	cholinergic receptor, nicotinic, alpha 4	311467	5	5	5	0	1	1	1	0	2	0	0.0358	0.138	0.459	0.938	0.688	0.116	1.000
1528	CD244	CD244 molecule, natural killer cell receptor 2B4	208624	3	3	3	1	0	3	0	0	0	0	0.0764	0.679	0.251	0.426	0.322	0.116	1.000
1529	EVC2	Ellis van Creveld syndrome 2 (limbin)	652282	10	10	10	2	1	4	4	0	1	0	0.0560	0.396	0.291	0.693	0.440	0.116	1.000
1530	NOX4	NADPH oxidase 4	326434	7	7	7	2	0	2	2	2	1	0	0.0247	0.682	0.653	0.627	1.000	0.116	1.000
1531	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	174020	3	3	3	1	0	2	0	1	0	0	0.0247	0.849	0.713	0.771	1.000	0.116	1.000
1532	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	260417	4	4	4	1	0	0	2	2	0	0	0.0305	0.774	0.927	0.334	0.808	0.116	1.000
1533	FLNC	filamin C, gamma (actin binding protein 280)	1445551	10	10	10	4	5	2	0	2	1	0	0.978	0.643	0.0114	0.762	0.0253	0.116	1.000
1534	CRBN	cereblon	251894	2	2	2	0	1	0	0	0	1	0	0.187	0.659	0.0284	0.690	0.132	0.116	1.000
1535	MIER2	mesoderm induction early response 1, family member 2	301975	5	5	5	0	2	2	0	0	1	0	0.0682	0.203	0.338	0.252	0.363	0.116	1.000
1536	UCN2	urocortin 2	54035	2	2	2	0	1	0	0	0	1	0	0.0248	0.480	0.451	0.687	1.000	0.116	1.000
1537	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	423521	4	4	4	0	1	1	0	1	1	0	0.173	0.447	0.597	0.0190	0.143	0.116	1.000
1538	WDR16	WD repeat domain 16	339478	3	3	3	0	1	1	0	1	0	0	0.216	0.385	0.0856	0.184	0.115	0.116	1.000
1539	TGDS	TDP-glucose 4,6-dehydratase	202457	2	2	2	0	0	1	0	0	1	0	0.201	0.826	0.0135	0.343	0.124	0.116	1.000
1540	AP1M1	adaptor-related protein complex 1, mu 1 subunit	247093	4	4	4	0	2	0	0	0	2	0	0.109	0.278	0.241	0.156	0.228	0.117	1.000
1541	IFT74	intraflagellar transport 74 homolog (Chlamydomonas)	330691	4	4	4	0	0	1	0	0	3	0	0.0422	0.556	0.383	0.651	0.589	0.117	1.000
1542	RYK	RYK receptor-like tyrosine kinase	292858	2	2	2	0	0	0	1	0	1	0	0.311	0.567	0.0247	0.975	0.0798	0.117	1.000
1543	GIGYF2	GRB10 interacting GYF protein 2	735277	7	7	7	2	2	2	0	0	2	1	0.181	0.705	0.169	0.176	0.137	0.117	1.000
1544	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	45489	1	1	1	0	0	0	0	0	1	0	0.117	1.000	NaN	NaN	NaN	0.117	1.000
1545	NUP37	nucleoporin 37kDa	185328	2	2	2	0	0	1	0	0	1	0	0.117	0.825	0.0199	0.458	0.213	0.117	1.000
1546	ALAS2	aminolevulinate, delta-, synthase 2	280392	2	2	2	0	1	0	1	0	0	0	0.308	0.633	0.0522	0.345	0.0812	0.117	1.000
1547	ZNF395	zinc finger protein 395	268579	4	4	4	1	1	3	0	0	0	0	0.129	0.496	0.729	0.0437	0.194	0.117	1.000
1548	PRKCSH	protein kinase C substrate 80K-H	301909	4	4	4	0	0	2	1	0	1	0	0.0746	0.419	0.413	0.161	0.336	0.117	1.000
1549	PEX3	peroxisomal biogenesis factor 3	214212	3	3	3	0	0	2	0	0	1	0	0.0629	0.480	0.569	0.0565	0.398	0.117	1.000
1550	ZEB2	zinc finger E-box binding homeobox 2	653545	7	7	7	1	0	4	0	3	0	0	0.0457	0.515	0.604	0.158	0.548	0.117	1.000
1551	PCDHB1	protocadherin beta 1	431914	3	3	3	1	1	1	1	0	0	0	0.264	0.727	0.110	0.144	0.0949	0.117	1.000
1552	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	835002	7	7	7	0	2	2	1	1	1	0	0.0597	0.162	0.509	0.172	0.420	0.117	1.000
1553	SP100	SP100 nuclear antigen	605605	7	7	7	0	2	2	0	1	2	0	0.0347	0.133	0.598	0.762	0.724	0.118	1.000
1554	POP4	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	123502	3	3	3	0	1	2	0	0	0	0	0.0368	0.331	0.858	0.420	0.681	0.118	1.000
1555	C9orf131	chromosome 9 open reading frame 131	576302	5	5	4	1	1	3	0	0	1	0	0.172	0.625	0.494	0.0479	0.146	0.118	1.000
1556	KLK11	kallikrein-related peptidase 11	168370	3	3	3	1	1	1	0	0	1	0	0.0483	0.746	0.414	0.365	0.521	0.118	1.000
1557	LRRC37A3	leucine rich repeat containing 37, member A3	685716	7	7	7	1	1	2	1	2	1	0	0.0680	0.399	0.215	0.965	0.370	0.118	1.000
1558	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	346421	4	4	4	0	0	2	1	1	0	0	0.0536	0.368	0.240	0.554	0.470	0.118	1.000
1559	TSPAN7	tetraspanin 7	139051	2	2	2	0	0	0	1	1	0	0	0.0788	0.678	0.0785	0.462	0.320	0.118	1.000
1560	OR13C3	olfactory receptor, family 13, subfamily C, member 3	186801	2	2	2	1	0	0	1	1	0	0	0.167	0.903	0.176	0.316	0.151	0.118	1.000
1561	DYNLT3	dynein, light chain, Tctex-type 3	58524	1	1	1	0	0	0	0	0	1	0	0.118	0.762	NaN	NaN	NaN	0.118	1.000
1562	ZNF460	zinc finger protein 460	312460	4	4	4	0	0	2	0	2	0	0	0.0714	0.396	0.412	0.219	0.354	0.118	1.000
1563	RNMT	RNA (guanine-7-) methyltransferase	266531	2	2	2	0	0	1	0	1	0	0	0.331	0.721	0.0350	0.805	0.0766	0.118	1.000
1564	TTC23	tetratricopeptide repeat domain 23	252840	3	3	3	0	0	2	0	1	0	0	0.141	0.480	0.0683	0.592	0.180	0.118	1.000
1565	KIAA1841	KIAA1841	427702	4	4	4	0	2	1	0	0	1	0	0.0906	0.368	0.148	0.753	0.280	0.119	1.000
1566	PMP22	peripheral myelin protein 22	83789	2	2	2	1	0	0	1	0	1	0	0.0363	0.796	0.573	0.911	0.700	0.119	1.000
1567	RPS19	ribosomal protein S19	84592	3	2	3	0	0	1	1	0	1	0	0.0254	0.561	0.423	0.668	1.000	0.119	1.000
1568	CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 13	281099	4	4	4	1	1	1	0	1	1	0	0.0717	0.497	0.949	0.138	0.354	0.119	1.000
1569	WWP1	WW domain containing E3 ubiquitin protein ligase 1	515579	6	6	6	0	1	1	0	1	3	0	0.0365	0.380	0.718	0.422	0.697	0.119	1.000
1570	SCN3B	sodium channel, voltage-gated, type III, beta	115962	3	3	3	0	0	1	0	1	1	0	0.0268	0.476	0.534	0.686	0.952	0.119	1.000
1571	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	262691	4	4	4	1	2	0	1	0	1	0	0.0255	0.538	0.999	0.240	1.000	0.119	1.000
1572	PARL	presenilin associated, rhomboid-like	215297	2	1	2	1	0	0	0	0	2	0	0.442	1.000	0.0164	0.722	0.0577	0.119	1.000
1573	KRTAP13-2	keratin associated protein 13-2	98068	2	2	2	0	2	0	0	0	0	0	0.0256	0.640	0.293	0.625	1.000	0.119	1.000
1574	GOLGA7	golgi autoantigen, golgin subfamily a, 7	77369	1	1	1	0	0	0	0	0	1	0	0.119	0.867	NaN	NaN	NaN	0.119	1.000
1575	ATAD1	ATPase family, AAA domain containing 1	196275	3	3	3	0	0	1	1	0	1	0	0.0477	0.476	0.500	0.284	0.537	0.119	1.000
1576	FBN3	fibrillin 3	1543885	10	10	10	2	3	3	2	1	1	0	0.766	0.330	0.101	0.0275	0.0334	0.119	1.000
1577	CD5L	CD5 molecule-like	187098	2	2	2	2	0	1	0	0	1	0	0.388	0.944	0.154	0.0699	0.0661	0.120	1.000
